filter,wavelength_nm,ring,diameter_1_um,diameter_2_um,diameter_3_um,zero_visibility_1_um,zero_visibility_2_um,zero_visibility_3_um
Зелёный,546.1,1,2357.2475,2358.5389,2292.1416,5038.732,5038.732,5038.732
Зелёный,546.1,2,2915.7909,2904.9530,2906.7426,5038.732,5038.732,5038.732
Зелёный,546.1,3,3313.7313,3325.1327,3340.6639,5038.732,5038.732,5038.732
Зелёный,546.1,4,3750.0670,3759.5556,3735.3453,5038.732,5038.732,5038.732
Красный,630.0,1,2471.7316,2509.4843,2463.4233,5571.5926,5571.5926,5571.5926
Красный,630.0,2,3087.7684,3051.6974,3077.4907,5571.5926,5571.5926,5571.5926
Красный,630.0,3,3579.7764,3544.5536,3579.0612,5571.5926,5571.5926,5571.5926
Красный,630.0,4,3993.4739,4002.9988,4042.0221,5571.5926,5571.5926,5571.5926
Оранжевый,578.4,1,2416.1037,2446.6810,2390.7714,4579.429,4579.429,4579.429
Оранжевый,578.4,2,3042.8391,2990.1220,2975.6449,4579.429,4579.429,4579.429
Оранжевый,578.4,3,3481.5668,3460.2682,3448.1572,4579.429,4579.429,4579.429
Оранжевый,578.4,4,3837.7471,3878.4747,3847.3560,4579.429,4579.429,4579.429
Синий,435.8,1,2289.7145,2285.7014,2290.0027,6798.0923,6798.0923,6798.0923
Синий,435.8,2,2776.6125,2784.2019,2786.5860,6798.0923,6798.0923,6798.0923
Синий,435.8,3,3197.4498,3181.7728,3213.8907,6798.0923,6798.0923,6798.0923
Синий,435.8,4,3573.5579,3560.0546,3554.7357,6798.0923,6798.0923,6798.0923
